Code,Object,Showcase,Caption,Current_Status,Link,Existing_Object,Notes,Acquisition_Institution_Responsible,Acquisition_People_Responsible,Acquisition_Technique,Acquisition_Equipment,Acquisition_License,Processing_Institution_Responsible,Processing_People_Responsible,Processing_Equipment,Processing_Timing_Start_Date_(MM-DD),Processing_Timing_End_Date_(MM-DD),Processing_License,Modeling_Institution_Responsible,Modeling_People_Responsible,Modeling_Equipment,Modeling_Timing_Start_Date_(MM-DD),Modeling_Timing_End_Date_(MM-DD),Modeling_License,Optimization_Institution_Responsible,Optimization_People_Responsible,Optimization_Equipment,Optimization_Timing_Start_Date_(MM-DD),Optimization_Timing_End_Date_(MM-DD),Optimization_License,Export_Institution_Responsible,Export_People_Responsible,Export_Equipment,Export_Timing_Start_Date_(MM-DD),Export_Timing_End_Date_(MM-DD),Export_License,Metadata_Institution_Responsible,Metadata_People_Responsible,Metadata_Equipment,Metadata_Timing_Start_Date_(MM-DD),Metadata_Timing_End_Date_(MM-DD),Metadata_License,Upload_to_ATON_Institution_Responsible,Upload_to_ATON_People_Responsible,Upload_to_ATON_Equipment,Upload_to_ATON_Timing_Start_Date_(MM-DD),Upload_to_ATON_Timing_End_Date_(MM-DD),Upload_License,Acquisition_Timing_End_Date_(MM-DD),Acquisition_Timing_Start_Date_(MM-DD),Room
"1185,2",footed bowl,,"yellow earthenware footed cup, Ginnori production",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4611,1",albarello,,albarello with withe and blue decorations,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4651,1",coffee pot,,coffee pot with yellow flower decoration,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"669,1",plate,,"old earthenware dish, graffito splashed, with medallion portrait of a woman in the center",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10548,1-10565,1",jug,,"Rustic pottery, engobed earthenware and sgraffito painted decoration, Romanian production ",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"382,1",apothecary jar,,blue and white engobed medicine vase. Circular inscription in capital letters: DIOSCORD ,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1539,2",vase,,Japanese brown glazed terracotta vase with flowers and birds. ,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2308,1",vase with rounded belly,,Ancient archeological egyptian vase with rounded belly,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7429,1",conical vase,,Coptic conical vase with painted decorations,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,head-shaped vase,,Cimù head-shaped vase,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4265,1",crater,,black medium crater with floral frieze,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"194,2",cachepot,,"cachepot with black friezes decarations, deer and leaves",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2857,2",quadrangular vase,,White and red quadrangular vase ,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
